ds,y,orders,items
2009-12-01,52438.61,117,26070
2009-12-02,61873.1,115,31799
2009-12-03,73109.78,124,49220
2009-12-04,39349.21,88,21192
2009-12-05,9803.05,30,5119
2009-12-06,24285.02,74,11525
2009-12-07,43057.47,101,17938
2009-12-08,48744.71,105,23131
2009-12-09,38870.31,87,17835
2009-12-10,42210.37,91,23577
2009-12-11,39447.89,70,21268
2009-12-13,21952.46,71,12507
2009-12-14,69895.46,90,45308
2009-12-15,49690.16,98,27059
2009-12-16,50118.92,98,24882
2009-12-17,29708.4,103,15403
2009-12-18,41155.93,68,17399
2009-12-20,11255.69,34,6237
2009-12-21,16071.04,40,8762
2009-12-22,25029.78,45,14454
2009-12-23,10664.67,22,4577
2010-01-04,13445.8,29,10646
2010-01-05,19114.34,36,11296
2010-01-06,8733.0,14,7456
2010-01-07,73020.89,47,40612
2010-01-08,28255.91,42,12675
2010-01-10,23485.85,34,13379
2010-01-11,34122.44,54,13963
2010-01-12,40165.42,38,21243
2010-01-13,19957.71,28,8812
2010-01-14,30513.15,58,13781
2010-01-15,13339.9,45,8408
2010-01-17,17393.2,40,9911
2010-01-18,20252.88,40,10329
2010-01-19,31575.16,46,15264
2010-01-20,16816.95,35,9474
2010-01-21,27359.23,48,72900
2010-01-22,34176.84,44,18551
2010-01-24,15876.84,50,8843
2010-01-25,22377.29,57,10026
2010-01-26,46641.47,92,22956
2010-01-27,27938.86,56,17834
2010-01-28,19796.87,55,11242
2010-01-29,18893.08,48,10155
2010-01-31,18250.35,53,10718
2010-02-01,18116.71,63,9228
2010-02-02,20904.52,45,11093
2010-02-03,20674.46,49,10274
2010-02-04,22277.71,62,12787
2010-02-05,21273.54,39,10336
2010-02-07,16867.83,30,11177
2010-02-08,15936.72,58,8600
2010-02-09,18625.49,54,10850
2010-02-10,8835.51,31,3752
2010-02-11,14856.27,56,9025
2010-02-12,11002.27,32,7645
2010-02-14,17685.58,45,10894
2010-02-15,40888.88,44,96419
2010-02-16,30367.23,61,16694
2010-02-17,26497.72,48,25013
2010-02-18,35749.14,63,19852
2010-02-19,25817.06,58,12581
2010-02-21,11392.68,37,5551
2010-02-22,26353.58,48,13427
2010-02-23,22278.27,47,11859
2010-02-24,32729.34,63,22444
2010-02-25,46180.01,67,26301
2010-02-26,16187.18,36,7415
2010-02-28,16628.99,53,8408
2010-03-01,25397.34,58,21440
2010-03-02,25490.46,55,11887
2010-03-03,33438.17,62,20365
2010-03-04,31525.63,73,18528
2010-03-05,26776.59,81,18222
2010-03-07,19342.9,56,10911
2010-03-08,35825.43,75,15566
2010-03-09,21573.33,56,12343
2010-03-10,26600.38,61,17919
2010-03-11,23990.61,48,14178
2010-03-12,21279.39,36,11025
2010-03-14,8924.0,24,4898
2010-03-15,26552.95,56,15053
2010-03-16,23517.46,45,12837
2010-03-17,30539.06,48,78796
2010-03-18,40040.58,84,23617
2010-03-19,23404.5,54,13342
2010-03-21,20429.08,56,12223
2010-03-22,24849.27,56,12764
2010-03-23,32334.36,67,54441
2010-03-24,28233.82,68,14310
2010-03-25,31925.24,79,17003
2010-03-26,32114.14,61,20892
2010-03-28,22348.05,58,14484
2010-03-29,58983.01,85,25125
2010-03-30,37747.9,70,19249
2010-03-31,28964.88,75,13635
2010-04-01,30084.3,77,17184
2010-04-06,19366.52,55,13018
2010-04-07,34473.81,61,23520
2010-04-08,47415.44,85,26771
2010-04-09,16275.16,51,9072
2010-04-11,19589.05,42,11579
2010-04-12,26772.65,45,12807
2010-04-13,25810.63,51,14436
2010-04-14,26846.03,45,16278
2010-04-15,19279.71,63,10754
2010-04-16,19348.25,42,14845
2010-04-18,23904.46,54,12959
2010-04-19,43482.2,74,19338
2010-04-20,24351.19,66,13448
2010-04-21,27269.6,64,13251
2010-04-22,37163.91,77,21558
2010-04-23,16233.29,56,10201
2010-04-25,16489.08,46,8350
2010-04-26,34772.31,98,19485
2010-04-27,45873.27,79,23371
2010-04-28,32011.87,73,19355
2010-04-29,32364.02,84,17005
2010-04-30,27721.11,49,17498
2010-05-02,12291.17,40,6293
2010-05-04,21555.07,51,11181
2010-05-05,27256.61,81,15596
2010-05-06,52950.13,82,31065
2010-05-07,35465.18,66,23161
2010-05-09,22817.82,62,11764
2010-05-10,31668.9,76,15703
2010-05-11,28268.76,65,18143
2010-05-12,30995.72,64,21653
2010-05-13,40408.14,66,26748
2010-05-14,18727.68,48,14345
2010-05-16,18356.69,44,11001
2010-05-17,25085.21,48,13804
2010-05-18,28423.93,63,22437
2010-05-19,17546.1,61,9643
2010-05-20,25635.09,67,15587
2010-05-21,26551.94,51,10054
2010-05-23,24917.13,49,13879
2010-05-24,35492.94,71,32762
2010-05-25,21844.72,58,15001
2010-05-26,34757.51,94,18883
2010-05-27,30581.63,87,17901
2010-05-28,21504.1,58,12623
2010-05-30,10733.47,32,6220
2010-06-01,15546.36,46,8283
2010-06-02,16001.69,45,11803
2010-06-03,29364.39,66,17578
2010-06-04,20297.33,51,8148
2010-06-06,25400.65,68,14074
2010-06-07,48854.78,103,29423
2010-06-08,51277.99,77,25805
2010-06-09,38095.62,68,25405
2010-06-10,17945.34,63,9673
2010-06-11,32720.07,79,21372
2010-06-13,21394.49,70,11118
2010-06-14,23929.75,57,16059
2010-06-15,30049.93,51,19486
2010-06-16,31034.36,80,18979
2010-06-17,23806.45,73,13194
2010-06-18,18393.83,49,9566
2010-06-20,9006.58,26,4483
